NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  19,20 RUE EDOUARD PAILLERON,75019,PW0033,1,48.8804061535,2.37654510623
BIBLIOTHEQUE PLACE DES FETES,18 RUE JANSSEN,75019,PW0008,3,48.8793648409,2.39763758371
CENTRE SPORTIF JULES LADOUMEGUE,37 ROUTE DES PETITS PONTS,75019,PW0083,1,48.893005177,2.39778750696
MAIRIE DU 19 EME,5 PLACE ARMAND CARREL,75019,PW0017,1,48.8827945783,2.38191797413
PREFOURRIERE PANTIN,15 RUE DE LA MARSEILLAISE,75019,,1,48.8886165183,2.39802091255
PARC DES BUTTES CHAUMONT - VILLETTE,1 RUE BOTZARIS,75019,PW0159,1,48.8796817468,2.38832763739
SQUARE DE LA MARSEILLAISE,1B RUE DE LA MARSEILLAISE,75019,PW0064,1,48.8872868418,2.39806224303
ARCHIVES DE PARIS,18 BOULEVARD SERURIER,75019,PW0136,1,48.8780382168,2.40580812486
PARC DES BUTTES CHAUMONT - BOLIVAR,1 RUE BOTZARIS,75019,PW0159-1,1,48.8764730512,2.38101742013
CENTRE SPORTIF DES LILAS,5 RUE DES LILAS,75019,PW0081,1,48.8779068008,2.39542126695
BIBLIOTHEQUE FESSART,6 RUE FESSART,75019,PW0005,1,48.8762687831,2.38818422808
PARC DES BUTTES CHAUMONT - CARREL,4 PLACE ARMAND CARREL,75019,PW0182,2,48.8827940633,2.3827054256
PARC DES BUTTES CHAUMONT - FESSARD,3 RUE BOTZARIS,75019,PW0159-2,3,48.8779490326,2.38109010003
SQUARE CLAUDE BERNARD,176 BOULEVARD MACDONALD,75019,PW0209,1,48.8982958877,2.38158352816
BIBLIOTHEQUE CRIMEE,42-44 RUE PETIT,75019,PW0004,1,48.8848820164,2.38305018751
BIBLIOTHEQUE BENJAMIN RABIER,141 AVENUE DE FLANDRE,75019,PW0001,2,48.8927610937,2.37912283946
BIBLIOTHEQUE CLAUDE LEVI STRAUSS,35-45 AVENUE DE FLANDRE,75019,PW0002,2,48.8867669709,2.37147305047
BIBLIOTHEQUE HERGE,2 RUE DU DEPARTEMENT,75019,PW0139,1,48.8850136264,2.36723501408
SQUARE MARCEL MOULOUDJI,2 RUE PIERRE REVERDY,75019,PW0167,1,48.8852754048,2.37635419105
BASE NAUTIQUE DE LA VILLETTE,41 QUAI DE LA LOIRE,75019,PW0078,1,48.8875236317,2.3788915948
PARC DE BELLEVILLE (PARIS NATURE MAISON DE L'AIR),27 RUE PIAT,75020,PW0168,1,48.8716051488,2.38492475051
BIBLIOTHEQUE MARGUERITE DURAS,109-115 RUE DE BAGNOLET,75020,PW0045,11,48.8598387687,2.40322699854
PARC DE BELLEVILLE - 1,45 RUE DES COURONNES,75020,PW0057,1,48.8705904639,2.38423775006
CENTRE SPORTIF PYRENEES,296 RUE DES PYRENEES,75020,PW0072,1,48.8719533728,2.39230250037
BIBLIOTHEQUE LOUISE MICHEL,29/35 RUE DES HAIES,75020,PW0130,2,48.8532955464,2.40121278827
GYMNASE VIGNOLES EST,83-91 RUE DES HAIES,75020,PW0073,1,48.8552404998,2.4039028856
CENTRE SPORTIF LOUIS LUMIERE,30 RUE LOUIS LUMIERE,75020,PW0105,1,48.8591982131,2.41164568454
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 20,18 RUE RAMUS,75020,PW0187,2,48.8627043264,2.39878906422
BIBLIOTHEQUE SORBIER,17 RUE SORBIER,75020,PW0129,2,48.8659615824,2.39285197457
BIBLIOTHEQUE ASSIA DJEBARD,1 RUE REYNALDO HAHN,75020,PW0144,6,48.8492339972,2.41209815834
BIBLIOTHEQUE NAGUIB MAHFOUZ,66 RUE DES COURONNES,75020,PW0048,1,48.870162555,2.38521982606
BIBLIOTHEQUE OSCAR WILDE,12 RUE DU TELEGRAPHE,75020,PW0061,1,48.8720261058,2.39981629322
GYMNASE PAUL MEURICE,1 RUE PAUL MEURICE,75020,PW0085,1,48.8740265007,2.41213767973
CENTRE SPORTIF ALFRED NAKACHE,4/12 RUE DENOYEZ,75020,PW0071,1,48.8714830648,2.37867703535
MAIRIE DU 20 EME,6 PLACE GAMBETTA,75020,PW0018,1,48.8650911391,2.39899770026
PARC DE BELLEVILLE - 2,45-47 RUE DES COURONNES,75020,PW0204,1,48.8703088766,2.38480663231
JARDIN GARE DE CHARONNE,59 BOULEVARD DAVOUT,75020,PW0055,1,48.8523121522,2.41056064416
PREFOURRIERE POUCHET 2,1BIS BOULEVARD DU GENERAL LECLERC CLICHY SUR SEINE,92100,,1,48.9002805032,2.31899270694
FOURRIERE LA COURNEUVE,92 RUE MERMOZ LA COURNEUVE,93120,,1,48.9325469697,2.40874563362
FOURRIERE BONNEUIL 2,AVENUE DE BOISSY RN19 BONNEUIL SUR MARNE,94380,,1,48.7611824817,2.49710603697
FOURRIERE BONNEUIL,11 RUE DES CHAMPS BONNEUIL SUR MARNE,94380,,1,48.7628610542,2.49947839187
